Referee,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed
A Taylor,15.0,17.0,2.0,2.0,0.0,0.0
M Oliver,18.0,12.0,3.0,3.0,0.0,0.0
M Atkinson,15.0,15.0,2.0,2.0,0.0,0.0
M Clattenburg,9.0,16.0,0.0,3.0,0.0,0.0
A Marriner,12.0,6.0,2.0,1.0,0.0,0.0
L Mason,8.0,17.0,2.0,0.0,0.0,1.0
M Dean,13.0,11.0,7.0,1.0,0.0,0.0
J Moss,17.0,17.0,3.0,3.0,0.0,0.0
M Clattenburg,17.0,17.0,0.0,4.0,0.0,0.0
A Taylor,10.0,6.0,2.0,2.0,0.0,0.0
K Friend,11.0,13.0,2.0,4.0,0.0,0.0
A Taylor,16.0,16.0,3.0,0.0,0.0,0.0
M Clattenburg,15.0,10.0,0.0,0.0,0.0,0.0
